timestamp,latitude,longitude,speed_kmh
timestamp,latitude,longitude,speed_kmh
1731643752,36.9767533,-1.4374466,206.0
1732939700,36.980095,-1.4393083,122.0
1732980686,36.97977,-1.43763,105.0
1733024941,36.9765066,-1.4375516,313.0
1733132300,36.9798149,-1.4371383,198.0
1733132301,36.9798083,-1.437165,199.0
1733132306,36.979745,-1.4372666,206.0
1733132311,36.9796666,-1.4374133,202.0
1733132316,36.9796283,-1.4375616,194.0
1733132321,36.9796399,-1.4376033,176.0
1733132326,36.97965,-1.4376116,176.0
1733132331,36.97965,-1.4376116,176.0
1733132336,36.9797683,-1.4376849,112.0
1733132341,36.9799566,-1.43777,104.0
1733132346,36.980145,-1.43784,112.0
1733132351,36.9803716,-1.4379466,112.0
1733132356,36.9805316,-1.4380133,113.0
1733132361,36.9806183,-1.43811,181.0
1733132366,36.9805566,-1.4382733,208.0
1733132371,36.9804916,-1.4384616,196.0
1733132376,36.9804233,-1.4386016,203.0
1733132381,36.98039,-1.4387266,186.0
1733132386,36.9803433,-1.4388633,211.0
1733132391,36.98027,-1.4390083,205.0
1733132396,36.9802183,-1.439115,207.0
1733132401,36.98018,-1.4392099,198.0
1733132406,36.980105,-1.4393049,262.0
1733132411,36.979945,-1.439245,298.0
1733132416,36.9796883,-1.4391133,298.0
1733132421,36.97947,-1.4390116,299.0
1733132426,36.979285,-1.43892,292.0
1733132431,36.9790133,-1.4387883,298.0
1733132436,36.9788116,-1.43866,296.0
1733132441,36.978625,-1.4385983,289.0
1733132446,36.9782883,-1.4384483,295.0
1733132451,36.977935,-1.4382833,293.0
1733132456,36.9775499,-1.4381083,296.0
1733132461,36.9771583,-1.4379199,296.0
1733132466,36.9768116,-1.4377316,298.0
1733132471,36.9766316,-1.4376516,299.0
1733132476,36.9765633,-1.4375916,325.0
1733132481,36.9765133,-1.4374416,358.0
1733132931,36.97659,-1.4372349,207.0
1733132936,36.9765766,-1.4372716,189.0
1733132941,36.9765766,-1.4372716,342.0
1733132946,36.9765233,-1.4371916,300.0
1733132951,36.976435,-1.4371433,253.0
1733132956,36.9763266,-1.4372316,220.0
1733132961,36.9762016,-1.4373366,248.0
1733132966,36.9760666,-1.4373316,296.0
1733132971,36.9757733,-1.43719,292.0
1733132976,36.9753916,-1.4370266,295.0
1733132981,36.9749916,-1.436825,297.0
1733132986,36.9745566,-1.4366033,298.0
1733132991,36.9741449,-1.436385,297.0
1733132996,36.9736949,-1.4361483,297.0
1733133001,36.9733516,-1.4359833,296.0
1733133006,36.9730233,-1.435825,293.0
1733133011,36.9727483,-1.435675,299.0
1733133016,36.9726133,-1.4356299,259.0
1733133021,36.972565,-1.43564,253.0
1733133026,36.972565,-1.43564,253.0
1733133031,36.972565,-1.43564,253.0
1733133036,36.972565,-1.43564,253.0
